Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,123,Rs. 750.0,Rs. 699.0,Rs. 738.8,-11.2,3581,2555403.1,750.0,-1.49,"09 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,96,Rs. 753.5,Rs. 716.0,Rs. 720.0,-18.8,3358,2443223.5,738.8,-2.54,"10 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,143,Rs. 725.0,Rs. 711.0,Rs. 712.0,-8.0,4246,3052796.4,720.0,-1.11,"13 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,115,Rs. 730.0,Rs. 702.4,Rs. 705.0,-7.0,2707,1920131.2,712.0,-0.98,"14 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,106,Rs. 700.0,Rs. 678.1,Rs. 697.0,-8.0,5136,3517488.1,705.0,-1.13,"15 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,83,Rs. 693.0,Rs. 673.0,Rs. 681.1,-15.9,2619,1793186.0,697.0,-2.28,"16 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,105,Rs. 715.0,Rs. 687.0,Rs. 715.0,33.9,3239,2281096.3,681.1,4.98,"17 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,85,Rs. 714.0,Rs. 687.5,Rs. 711.0,-4.0,2801,1966553.6,715.0,-0.56,"20 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,70,Rs. 710.0,Rs. 697.0,Rs. 709.0,-2.0,2630,1841117.8,711.0,-0.28,"21 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,106,Rs. 719.0,Rs. 683.0,Rs. 719.0,10.0,4633,3200667.4,709.0,1.41,"22 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,179,Rs. 759.9,Rs. 690.9,Rs. 758.0,39.0,5397,3974047.3,719.0,5.42,"23 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,97,Rs. 750.0,Rs. 715.6,Rs. 724.0,-34.0,3102,2263012.1,758.0,-4.49,"24 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,85,Rs. 715.0,Rs. 700.0,Rs. 710.0,-14.0,2425,1708445.0,724.0,-1.93,"27 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,71,Rs. 729.0,Rs. 700.1,Rs. 707.8,-2.2,1781,1264354.5,710.0,-0.31,"28 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,0,Rs. 721.9,Rs. 695.0,Rs. 710.0,2.2,1522,1067996.3,707.8,0.31,"29 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,75,Rs. 750.0,Rs. 705.0,Rs. 715.0,-35.0,1915,1366570.0,750.0,-4.67,"30 August, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,94,Rs. 710.0,Rs. 690.0,Rs. 694.0,-21.0,2876,1995185.5,715.0,-2.94,"03 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,90,Rs. 762.0,Rs. 691.0,Rs. 762.0,68.0,2351,1646788.0,694.0,9.8,"04 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,56,Rs. 746.8,Rs. 700.0,Rs. 704.0,-58.0,1047,742035.6,762.0,-7.61,"05 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,79,Rs. 700.0,Rs. 685.0,Rs. 694.0,-10.0,1993,1380028.8,704.0,-1.42,"07 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,107,Rs. 730.0,Rs. 685.1,Rs. 730.0,36.0,1951,1370731.4,694.0,5.19,"10 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,69,Rs. 715.4,Rs. 696.0,Rs. 710.0,-20.0,1147,811269.1,730.0,-2.74,"11 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,72,Rs. 710.0,Rs. 696.6,Rs. 696.6,-13.4,2663,1871132.4,710.0,-1.89,"12 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,70,Rs. 705.9,Rs. 683.1,Rs. 700.2,3.6,1047,731964.1,696.6,0.52,"13 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,62,Rs. 700.0,Rs. 681.0,Rs. 681.0,-19.2,2162,1487256.4,700.2,-2.74,"17 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,37,Rs. 694.6,Rs. 670.0,Rs. 686.0,5.0,580,396753.2,681.0,0.73,"18 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,100,Rs. 685.0,Rs. 673.0,Rs. 680.0,-6.0,3661,2485453.4,686.0,-0.87,"19 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,141,Rs. 709.0,Rs. 667.1,Rs. 709.0,29.0,4663,3244314.8,680.0,4.26,"21 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,76,Rs. 723.0,Rs. 691.0,Rs. 700.0,-9.0,1229,863178.1,709.0,-1.27,"24 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,120,Rs. 742.0,Rs. 686.1,Rs. 740.0,40.0,3532,2501437.5,700.0,5.71,"25 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,126,Rs. 735.0,Rs. 700.0,Rs. 719.0,-21.0,5103,3643961.4,740.0,-2.84,"26 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,56,Rs. 733.0,Rs. 692.3,Rs. 705.0,-14.0,1312,919929.6,719.0,-1.95,"27 September, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,79,Rs. 699.7,Rs. 683.0,Rs. 687.0,-18.0,1766,1218686.0,705.0,-2.55,"01 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,83,Rs. 703.0,Rs. 680.1,Rs. 690.0,3.0,2668,1846510.9,687.0,0.44,"02 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,111,Rs. 730.0,Rs. 678.0,Rs. 730.0,40.0,3224,2212630.9,690.0,5.8,"03 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,82,Rs. 744.6,Rs. 690.1,Rs. 702.0,-28.0,1571,1094398.6,730.0,-3.84,"04 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,70,Rs. 701.7,Rs. 674.3,Rs. 690.0,-12.0,2537,1755021.0,702.0,-1.71,"05 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,91,Rs. 690.0,Rs. 670.0,Rs. 674.0,-16.0,3147,2121597.7,690.0,-2.32,"08 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,78,Rs. 715.0,Rs. 662.0,Rs. 664.0,-10.0,1944,1293501.1,674.0,-1.48,"09 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,56,Rs. 670.0,Rs. 660.0,Rs. 661.1,-2.9,1173,775915.4,664.0,-0.44,"10 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,54,Rs. 673.0,Rs. 650.0,Rs. 665.0,3.9,725,482635.1,661.1,0.59,"11 October, 2023"
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,60,Rs. 668.5,Rs. 656.0,Rs. 663.0,-2.0,1324,872586.2,665.0,-0.3,"12 October, 2023"
