Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
HRL,Himalayan Reinsurance Limited,2333,Rs. 620.0,Rs. 606.0,Rs. 610.0,-6.0,104494,64026939.4,616.0,-0.97,"27 February, 2024"
HRL,Himalayan Reinsurance Limited,2542,Rs. 620.0,Rs. 609.0,Rs. 615.0,5.0,131080,80689282.5,610.0,0.82,"28 February, 2024"
HRL,Himalayan Reinsurance Limited,2207,Rs. 620.0,Rs. 604.9,Rs. 605.4,-9.6,131730,80335036.4,615.0,-1.56,"29 February, 2024"
HRL,Himalayan Reinsurance Limited,2817,Rs. 613.0,Rs. 595.2,Rs. 595.6,-9.8,138436,83016772.5,605.4,-1.62,"03 March, 2024"
HRL,Himalayan Reinsurance Limited,224,Rs. 652.0,Rs. 607.5,Rs. 622.0,26.4,46976,29975395.5,595.6,4.43,"04 March, 2024"
HRL,Himalayan Reinsurance Limited,3274,Rs. 633.9,Rs. 610.0,Rs. 613.5,-8.5,206392,128174143.1,622.0,-1.37,"05 March, 2024"
HRL,Himalayan Reinsurance Limited,3109,Rs. 631.0,Rs. 608.1,Rs. 624.9,11.4,209585,130115577.2,613.5,1.86,"06 March, 2024"
HRL,Himalayan Reinsurance Limited,2295,Rs. 634.0,Rs. 621.0,Rs. 624.0,-0.9,104209,65281969.1,624.9,-0.14,"07 March, 2024"
HRL,Himalayan Reinsurance Limited,2490,Rs. 630.0,Rs. 618.0,Rs. 620.0,-4.0,114706,71551639.3,624.0,-0.64,"10 March, 2024"
HRL,Himalayan Reinsurance Limited,3922,Rs. 635.5,Rs. 620.0,Rs. 635.0,15.0,249989,157186727.7,620.0,2.42,"12 March, 2024"
HRL,Himalayan Reinsurance Limited,3723,Rs. 650.0,Rs. 631.1,Rs. 642.0,7.0,319600,206338723.1,635.0,1.1,"13 March, 2024"
HRL,Himalayan Reinsurance Limited,2413,Rs. 644.0,Rs. 628.0,Rs. 630.5,-11.5,155008,98412718.7,642.0,-1.79,"14 March, 2024"
