Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
PPL,People's Power Limited,129,Rs. 256.0,Rs. 249.4,Rs. 253.4,-3.6,3439,863961.2,257.0,-1.4,"08 May, 2023"
PPL,People's Power Limited,116,Rs. 261.2,Rs. 250.0,Rs. 260.0,0.0,4247,1088220.2,260.0,0.0,"11 May, 2023"
PPL,People's Power Limited,128,Rs. 262.9,Rs. 249.0,Rs. 254.5,-5.5,10407,2644896.0,260.0,-2.12,"14 May, 2023"
PPL,People's Power Limited,140,Rs. 259.5,Rs. 240.0,Rs. 259.5,5.0,4914,1221656.6,254.5,1.96,"15 May, 2023"
PPL,People's Power Limited,97,Rs. 264.0,Rs. 249.0,Rs. 255.0,-4.5,2360,601215.0,259.5,-1.73,"16 May, 2023"
PPL,People's Power Limited,118,Rs. 261.0,Rs. 250.0,Rs. 260.0,5.0,4671,1206619.0,255.0,1.96,"17 May, 2023"
PPL,People's Power Limited,167,Rs. 270.0,Rs. 255.0,Rs. 270.0,10.0,8795,2330379.8,260.0,3.85,"18 May, 2023"
PPL,People's Power Limited,185,Rs. 275.0,Rs. 264.1,Rs. 268.8,-1.2,5487,1470801.1,270.0,-0.44,"21 May, 2023"
PPL,People's Power Limited,136,Rs. 271.9,Rs. 258.8,Rs. 269.0,0.2,8255,2190951.0,268.8,0.07,"22 May, 2023"
PPL,People's Power Limited,237,Rs. 281.4,Rs. 263.7,Rs. 280.5,11.5,15850,4373238.9,269.0,4.28,"23 May, 2023"
PPL,People's Power Limited,172,Rs. 285.1,Rs. 270.1,Rs. 285.1,4.6,10470,2891748.0,280.5,1.64,"24 May, 2023"
PPL,People's Power Limited,217,Rs. 284.0,Rs. 271.0,Rs. 273.0,-12.1,9556,2653968.1,285.1,-4.24,"28 May, 2023"
PPL,People's Power Limited,191,Rs. 268.0,Rs. 255.7,Rs. 263.0,-10.0,11720,3057272.5,273.0,-3.66,"30 May, 2023"
PPL,People's Power Limited,162,Rs. 270.0,Rs. 243.3,Rs. 269.0,6.0,8054,2036230.1,263.0,2.28,"31 May, 2023"
PPL,People's Power Limited,152,Rs. 268.0,Rs. 244.0,Rs. 263.7,-5.3,12881,3309113.5,269.0,-1.97,"01 June, 2023"
PPL,People's Power Limited,178,Rs. 274.0,Rs. 262.5,Rs. 274.0,10.3,6312,1711320.6,263.7,3.91,"04 June, 2023"
PPL,People's Power Limited,213,Rs. 277.0,Rs. 260.0,Rs. 264.5,-9.5,7014,1869595.4,274.0,-3.47,"05 June, 2023"
PPL,People's Power Limited,267,Rs. 278.0,Rs. 260.0,Rs. 278.0,13.5,13579,3702733.5,264.5,5.1,"06 June, 2023"
PPL,People's Power Limited,312,Rs. 287.0,Rs. 277.9,Rs. 283.0,5.0,24408,6897163.3,278.0,1.8,"07 June, 2023"
PPL,People's Power Limited,266,Rs. 288.6,Rs. 273.6,Rs. 278.1,-4.9,12302,3494758.8,283.0,-1.73,"08 June, 2023"
PPL,People's Power Limited,369,Rs. 285.0,Rs. 273.2,Rs. 283.9,5.8,16641,4681976.9,278.1,2.09,"11 June, 2023"
PPL,People's Power Limited,317,Rs. 291.5,Rs. 278.4,Rs. 290.0,6.1,21883,6211402.2,283.9,2.15,"12 June, 2023"
PPL,People's Power Limited,331,Rs. 298.0,Rs. 282.0,Rs. 293.0,3.0,24272,7095989.3,290.0,1.03,"13 June, 2023"
PPL,People's Power Limited,400,Rs. 298.8,Rs. 283.1,Rs. 290.0,-3.0,38662,11211294.1,293.0,-1.02,"14 June, 2023"
PPL,People's Power Limited,229,Rs. 295.8,Rs. 279.1,Rs. 286.9,-3.1,9281,2634033.5,290.0,-1.07,"15 June, 2023"
