Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
RNLI,Reliable Nepal Life Insurance Limited,3635,Rs. 435.0,Rs. 424.0,Rs. 424.6,-8.9,64409,27613460.8,433.5,-2.05,"12 October, 2023"
RNLI,Reliable Nepal Life Insurance Limited,1913,Rs. 426.3,Rs. 405.1,Rs. 420.0,8.1,55426,23157685.6,411.9,1.97,"22 November, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2661,Rs. 453.9,Rs. 412.1,Rs. 440.0,20.0,119970,52127714.3,420.0,4.76,"23 November, 2023"
RNLI,Reliable Nepal Life Insurance Limited,1840,Rs. 462.0,Rs. 452.2,Rs. 457.0,-3.0,58396,26629402.7,460.0,-0.65,"03 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2295,Rs. 472.0,Rs. 452.1,Rs. 467.0,10.0,92194,42979916.5,457.0,2.19,"04 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2320,Rs. 482.0,Rs. 470.0,Rs. 474.5,7.5,108588,51635317.7,467.0,1.61,"05 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2579,Rs. 491.0,Rs. 472.0,Rs. 488.1,13.6,151676,73449017.5,474.5,2.87,"06 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2972,Rs. 491.0,Rs. 475.2,Rs. 486.3,-1.8,163473,79121523.9,488.1,-0.37,"07 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,199,Rs. 515.0,Rs. 490.0,Rs. 514.0,27.7,39065,19842653.6,486.3,5.7,"10 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,5120,Rs. 520.0,Rs. 494.0,Rs. 519.6,5.6,325267,165766860.7,514.0,1.09,"11 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,4714,Rs. 547.0,Rs. 517.0,Rs. 542.0,22.4,267573,143578143.7,519.6,4.31,"12 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2984,Rs. 553.0,Rs. 536.0,Rs. 543.0,1.0,202768,110503832.1,542.0,0.18,"13 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2687,Rs. 553.8,Rs. 530.0,Rs. 547.0,4.0,213185,114988791.7,543.0,0.74,"14 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,3797,Rs. 557.9,Rs. 527.1,Rs. 552.0,5.0,297715,161539726.3,547.0,0.91,"17 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2826,Rs. 566.9,Rs. 545.0,Rs. 555.0,3.0,222876,124801851.1,552.0,0.54,"18 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,3597,Rs. 600.0,Rs. 545.0,Rs. 590.0,35.0,214105,122188899.8,555.0,6.31,"19 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2856,Rs. 605.0,Rs. 580.0,Rs. 592.0,2.0,282935,167367961.8,590.0,0.34,"20 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2914,Rs. 598.0,Rs. 580.3,Rs. 585.0,-7.0,229637,134365424.3,592.0,-1.18,"21 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,3944,Rs. 603.0,Rs. 575.1,Rs. 595.0,10.0,285552,169388956.0,585.0,1.71,"24 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,3236,Rs. 603.0,Rs. 584.3,Rs. 585.0,-10.0,213685,126463053.0,595.0,-1.68,"27 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2999,Rs. 590.0,Rs. 575.2,Rs. 582.0,-3.0,222384,129809679.5,585.0,-0.51,"28 December, 2023"
RNLI,Reliable Nepal Life Insurance Limited,2513,Rs. 587.0,Rs. 566.5,Rs. 567.1,-14.9,172131,99165974.8,582.0,-2.56,"01 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2733,Rs. 565.0,Rs. 543.0,Rs. 545.1,-22.0,178303,98716496.7,567.1,-3.88,"02 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2367,Rs. 552.0,Rs. 525.0,Rs. 550.0,4.9,156218,84208353.5,545.1,0.9,"03 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2161,Rs. 566.0,Rs. 545.0,Rs. 545.1,-4.9,208839,114843404.6,550.0,-0.89,"04 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2103,Rs. 544.9,Rs. 531.1,Rs. 535.0,-10.1,125364,67228083.9,545.1,-1.85,"07 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2581,Rs. 560.0,Rs. 537.0,Rs. 556.0,21.0,169677,93099943.4,535.0,3.93,"08 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,4429,Rs. 603.4,Rs. 569.1,Rs. 578.9,20.9,496040,288715287.9,558.0,3.75,"10 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2364,Rs. 585.0,Rs. 570.0,Rs. 571.0,-7.9,167643,96313741.7,578.9,-1.36,"11 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2183,Rs. 576.0,Rs. 565.0,Rs. 566.0,-5.0,131023,74568566.7,571.0,-0.88,"14 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,3005,Rs. 598.0,Rs. 566.0,Rs. 590.0,24.0,228431,133182417.0,566.0,4.24,"16 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2940,Rs. 612.0,Rs. 577.4,Rs. 578.0,-12.0,198057,116448228.8,590.0,-2.03,"17 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,3580,Rs. 582.1,Rs. 568.0,Rs. 575.4,-2.6,115513,66398072.7,578.0,-0.45,"18 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,3243,Rs. 588.0,Rs. 570.0,Rs. 572.9,-2.5,160835,93061798.1,575.4,-0.43,"21 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,3520,Rs. 585.1,Rs. 566.0,Rs. 575.0,2.1,187913,108538595.0,572.9,0.37,"22 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2437,Rs. 582.0,Rs. 564.0,Rs. 571.0,-4.0,83789,48058775.8,575.0,-0.7,"23 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2346,Rs. 581.0,Rs. 569.0,Rs. 572.0,1.0,93152,53299314.9,571.0,0.18,"24 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,2785,Rs. 575.0,Rs. 568.0,Rs. 570.0,-2.0,123970,70678728.9,572.0,-0.35,"25 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,7263,Rs. 581.0,Rs. 570.0,Rs. 577.5,7.5,300619,173464498.7,570.0,1.32,"28 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1866,Rs. 515.0,Rs. 488.1,Rs. 489.0,-8.84,76971,38147770.6,497.84,-1.78,"29 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1712,Rs. 496.2,Rs. 476.3,Rs. 479.7,-9.3,96510,46384374.7,489.0,-1.9,"30 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1379,Rs. 482.0,Rs. 465.0,Rs. 469.0,-10.7,72717,34417434.8,479.7,-2.23,"31 January, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1157,Rs. 469.0,Rs. 455.0,Rs. 457.0,-12.0,43310,19945878.0,469.0,-2.56,"01 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1176,Rs. 457.0,Rs. 446.2,Rs. 451.8,-5.2,38471,17382815.0,457.0,-1.14,"04 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,995,Rs. 456.0,Rs. 446.5,Rs. 447.5,-4.3,40906,18367875.5,451.8,-0.95,"05 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1177,Rs. 455.8,Rs. 448.2,Rs. 451.0,3.5,28363,12792911.2,447.5,0.78,"06 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1615,Rs. 472.0,Rs. 445.0,Rs. 472.0,21.0,141965,66247371.7,451.0,4.66,"07 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1122,Rs. 480.0,Rs. 470.0,Rs. 470.5,-1.5,73145,34731363.5,472.0,-0.32,"08 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1096,Rs. 480.0,Rs. 462.1,Rs. 464.6,-5.9,40826,19147380.3,470.5,-1.25,"11 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1045,Rs. 470.0,Rs. 458.0,Rs. 465.0,0.4,28273,13132935.6,464.6,0.09,"12 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,884,Rs. 465.0,Rs. 450.0,Rs. 455.0,-10.0,40983,18725038.2,465.0,-2.15,"13 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,897,Rs. 462.0,Rs. 448.4,Rs. 454.2,-0.8,31667,14443300.5,455.0,-0.18,"14 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1202,Rs. 455.0,Rs. 446.8,Rs. 448.0,-6.2,30523,13764170.4,454.2,-1.37,"15 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1868,Rs. 452.0,Rs. 440.0,Rs. 441.0,-7.0,38354,16999294.5,448.0,-1.56,"18 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1677,Rs. 448.0,Rs. 437.0,Rs. 442.0,1.0,32611,14387911.0,441.0,0.23,"20 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1412,Rs. 445.0,Rs. 431.2,Rs. 433.3,-8.7,45804,19973605.6,442.0,-1.97,"21 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1670,Rs. 440.0,Rs. 428.1,Rs. 428.6,-4.7,37209,16148814.0,433.3,-1.08,"22 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1223,Rs. 440.0,Rs. 424.1,Rs. 424.2,-4.4,36823,15853677.5,428.6,-1.03,"25 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,860,Rs. 432.4,Rs. 419.6,Rs. 430.0,5.8,30389,12910060.5,424.2,1.37,"26 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,581,Rs. 433.5,Rs. 423.0,Rs. 428.0,-2.0,26847,11469238.9,430.0,-0.47,"27 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,621,Rs. 433.0,Rs. 425.0,Rs. 427.0,-1.0,22610,9697793.4,428.0,-0.23,"28 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,578,Rs. 429.0,Rs. 417.0,Rs. 419.0,-8.0,26819,11293428.8,427.0,-1.87,"29 February, 2024"
RNLI,Reliable Nepal Life Insurance Limited,685,Rs. 420.0,Rs. 410.0,Rs. 414.1,-4.9,27869,11534230.5,419.0,-1.17,"03 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,21,Rs. 455.5,Rs. 422.0,Rs. 455.5,41.4,1815,810403.0,414.1,10.0,"04 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,809,Rs. 460.0,Rs. 432.0,Rs. 432.0,-23.5,60069,26396939.4,455.5,-5.16,"05 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,692,Rs. 438.6,Rs. 424.0,Rs. 431.0,-1.0,30085,12970868.1,432.0,-0.23,"06 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,639,Rs. 442.0,Rs. 431.0,Rs. 437.1,6.1,24279,10630681.1,431.0,1.42,"07 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,880,Rs. 448.1,Rs. 438.0,Rs. 444.5,7.4,31290,13928578.8,437.1,1.69,"10 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1677,Rs. 477.0,Rs. 444.0,Rs. 477.0,32.5,92829,43158649.3,444.5,7.31,"12 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1105,Rs. 487.0,Rs. 465.0,Rs. 472.0,-5.0,57914,27527504.3,477.0,-1.05,"13 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,784,Rs. 475.0,Rs. 455.1,Rs. 458.9,-13.1,33317,15353362.5,472.0,-2.78,"14 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,1003,Rs. 466.0,Rs. 453.0,Rs. 456.0,-2.9,34984,16039695.2,458.9,-0.63,"17 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,772,Rs. 458.0,Rs. 448.0,Rs. 452.0,-4.0,26652,12060244.8,456.0,-0.88,"18 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,781,Rs. 459.7,Rs. 448.0,Rs. 449.0,-3.0,31244,14185220.2,452.0,-0.66,"19 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,656,Rs. 457.0,Rs. 441.0,Rs. 444.5,-4.5,26062,11644691.1,449.0,-1.0,"20 March, 2024"
RNLI,Reliable Nepal Life Insurance Limited,681,Rs. 447.0,Rs. 437.0,Rs. 437.6,-6.9,36131,15948015.0,444.5,-1.55,"21 March, 2024"
