Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
SLI,Sanima Life Insurance Limited,305,Rs. 339,Rs. 326,Rs. 328.2,-17.7,8430.00,2775525.70,345.9,-5.12,"11 December, 2022"
SLI,Sanima Life Insurance Limited,270,Rs. 339.6,Rs. 322,Rs. 329,0.8,9476.00,3105991.20,328.2,0.24,"12 December, 2022"
SLI,Sanima Life Insurance Limited,270,Rs. 345.3,Rs. 323,Rs. 335,6.0,4219.00,1407237.30,329,1.82,"13 December, 2022"
SLI,Sanima Life Insurance Limited,221,Rs. 342,Rs. 329,Rs. 337.9,2.9,4001.00,1332502.70,335,0.87,"14 December, 2022"
SLI,Sanima Life Insurance Limited,203,Rs. 341,Rs. 327.1,Rs. 327.1,-10.8,4435.00,1467332.30,337.9,-3.2,"15 December, 2022"
SLI,Sanima Life Insurance Limited,186,Rs. 333.5,Rs. 317.2,Rs. 320,-7.1,2610.00,834318.40,327.1,-2.17,"18 December, 2022"
SLI,Sanima Life Insurance Limited,215,Rs. 348,Rs. 313.7,Rs. 320,0.0,4203.00,1346065.60,320,0.0,"19 December, 2022"
SLI,Sanima Life Insurance Limited,187,Rs. 328,Rs. 316,Rs. 321.1,1.1,2792.00,902113.40,320,0.34,"20 December, 2022"
SLI,Sanima Life Insurance Limited,185,Rs. 324,Rs. 317,Rs. 317.3,-3.8,6586.00,2103524.20,321.1,-1.18,"21 December, 2022"
SLI,Sanima Life Insurance Limited,183,Rs. 322.3,Rs. 311.5,Rs. 316.1,-1.2,3556.00,1125284.90,317.3,-0.38,"22 December, 2022"
SLI,Sanima Life Insurance Limited,282,Rs. 327.5,Rs. 315,Rs. 327,10.9,7831.00,2518070.00,316.1,3.45,"26 December, 2022"
SLI,Sanima Life Insurance Limited,332,Rs. 349.9,Rs. 331,Rs. 340,13.0,13925.00,4718968.30,327,3.98,"27 December, 2022"
SLI,Sanima Life Insurance Limited,317,Rs. 365,Rs. 335,Rs. 357,17.0,17710.00,6213801.20,340,5.0,"28 December, 2022"
SLI,Sanima Life Insurance Limited,422,Rs. 392.7,Rs. 344.1,Rs. 392.7,35.7,25501.00,9657146.50,357,10.0,"29 December, 2022"
SLI,Sanima Life Insurance Limited,608,Rs. 430,Rs. 390,Rs. 415,22.3,40033.00,16773151.50,392.7,5.68,"01 January, 2023"
SLI,Sanima Life Insurance Limited,525,Rs. 436,Rs. 405,Rs. 430,15.0,22169.00,9400960.90,415,3.61,"02 January, 2023"
SLI,Sanima Life Insurance Limited,407,Rs. 441,Rs. 423,Rs. 428,-2.0,16098.00,6937399.10,430,-0.47,"03 January, 2023"
SLI,Sanima Life Insurance Limited,490,Rs. 437.5,Rs. 418,Rs. 435,7.0,23281.00,9896306.70,428,1.64,"04 January, 2023"
SLI,Sanima Life Insurance Limited,433,Rs. 440.1,Rs. 423,Rs. 430,-5.0,24474.00,10554789.50,435,-1.15,"05 January, 2023"
SLI,Sanima Life Insurance Limited,708,Rs. 472.1,Rs. 429.9,Rs. 458,28.0,49213.00,22444568.80,430,6.51,"08 January, 2023"
SLI,Sanima Life Insurance Limited,566,Rs. 485.5,Rs. 448.9,Rs. 485.5,27.5,34802.00,16358393.70,458,6.0,"09 January, 2023"
SLI,Sanima Life Insurance Limited,569,Rs. 498.7,Rs. 439,Rs. 467,-18.5,34001.00,16254976.60,485.5,-3.81,"10 January, 2023"
SLI,Sanima Life Insurance Limited,572,Rs. 481,Rs. 435.1,Rs. 439,-28.0,30110.00,13547285.50,467,-6.0,"12 January, 2023"
SLI,Sanima Life Insurance Limited,591,Rs. 455.9,Rs. 430.1,Rs. 451,12.0,16581.00,7393969.40,439,2.73,"17 January, 2023"
SLI,Sanima Life Insurance Limited,438,Rs. 463,Rs. 444,Rs. 449.9,-1.1,24875.00,11280266.20,451,-0.24,"18 January, 2023"
SLI,Sanima Life Insurance Limited,416,Rs. 457,Rs. 435.2,Rs. 438.3,-11.6,17216.00,7577040.50,449.9,-2.58,"19 January, 2023"
SLI,Sanima Life Insurance Limited,517,Rs. 447,Rs. 431,Rs. 431,-7.3,22022.00,9647705.20,438.3,-1.67,"23 January, 2023"
