Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
USHL,Upper Syange Hydropower Limited,159,Rs. 339.1,Rs. 322.0,Rs. 322.1,-23.9,10955,3606928.4,346.0,-6.91,"12 October, 2023"
USHL,Upper Syange Hydropower Limited,71,Rs. 306.0,Rs. 295.0,Rs. 306.0,5.6,2190,659752.0,300.4,1.86,"22 November, 2023"
USHL,Upper Syange Hydropower Limited,85,Rs. 311.9,Rs. 295.2,Rs. 308.0,2.0,2747,834037.9,306.0,0.65,"23 November, 2023"
USHL,Upper Syange Hydropower Limited,103,Rs. 338.3,Rs. 319.0,Rs. 337.0,5.0,4466,1460082.2,332.0,1.51,"03 December, 2023"
USHL,Upper Syange Hydropower Limited,79,Rs. 355.0,Rs. 322.2,Rs. 331.0,-6.0,2130,708824.0,337.0,-1.78,"04 December, 2023"
USHL,Upper Syange Hydropower Limited,101,Rs. 339.6,Rs. 325.4,Rs. 331.0,0.0,5480,1815385.0,331.0,0.0,"05 December, 2023"
USHL,Upper Syange Hydropower Limited,66,Rs. 357.5,Rs. 327.1,Rs. 333.0,2.0,1450,485684.0,331.0,0.6,"06 December, 2023"
USHL,Upper Syange Hydropower Limited,114,Rs. 344.0,Rs. 326.3,Rs. 342.0,9.0,8135,2751180.0,333.0,2.7,"07 December, 2023"
USHL,Upper Syange Hydropower Limited,10,Rs. 361.0,Rs. 348.8,Rs. 361.0,19.0,630,223592.0,342.0,5.56,"10 December, 2023"
USHL,Upper Syange Hydropower Limited,175,Rs. 361.0,Rs. 339.1,Rs. 342.0,-19.0,11542,4001253.0,361.0,-5.26,"11 December, 2023"
USHL,Upper Syange Hydropower Limited,199,Rs. 360.0,Rs. 330.3,Rs. 357.0,15.0,16814,5874519.5,342.0,4.39,"12 December, 2023"
