Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
VLUCL,Vision Lumbini Urja Company Limited,296,Rs. 532.0,Rs. 515.0,Rs. 519.0,-5.9,11125,5790799.5,524.9,-1.12,"27 February, 2024"
VLUCL,Vision Lumbini Urja Company Limited,1229,Rs. 554.0,Rs. 510.5,Rs. 542.0,23.0,91844,49731424.3,519.0,4.43,"28 February, 2024"
VLUCL,Vision Lumbini Urja Company Limited,448,Rs. 548.9,Rs. 519.1,Rs. 529.0,-13.0,34697,18318170.6,542.0,-2.4,"29 February, 2024"
VLUCL,Vision Lumbini Urja Company Limited,708,Rs. 538.9,Rs. 511.2,Rs. 528.0,-1.0,44788,23552989.5,529.0,-0.19,"03 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,48,Rs. 571.0,Rs. 538.0,Rs. 571.0,43.0,7936,4415480.8,528.0,8.14,"04 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,676,Rs. 582.4,Rs. 532.0,Rs. 534.0,-37.0,53753,29102130.9,571.0,-6.48,"05 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,614,Rs. 549.0,Rs. 525.0,Rs. 543.0,9.0,44401,23787425.7,534.0,1.69,"06 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,329,Rs. 553.0,Rs. 530.3,Rs. 536.0,-7.0,16107,8671193.0,543.0,-1.29,"07 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,453,Rs. 545.0,Rs. 533.0,Rs. 533.0,-3.0,29321,15718155.1,536.0,-0.56,"10 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,565,Rs. 540.0,Rs. 530.0,Rs. 536.1,3.1,27030,14409627.0,533.0,0.58,"12 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,569,Rs. 545.0,Rs. 531.1,Rs. 544.0,7.9,42058,22705560.3,536.1,1.47,"13 March, 2024"
VLUCL,Vision Lumbini Urja Company Limited,402,Rs. 549.9,Rs. 524.4,Rs. 534.7,-9.3,29097,15421572.3,544.0,-1.71,"14 March, 2024"
