Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
SGI,Sanima General Insurance Limited,424,Rs. 718,Rs. 698,Rs. 705,-13.00,9762.00,6885972.00,718,-1.81,"17 February, 2021"
SGI,Sanima General Insurance Limited,606,Rs. 702,Rs. 691,Rs. 697,-8.00,16077.00,11199238.00,705,-1.13,"18 February, 2021"
SGI,Sanima General Insurance Limited,574,Rs. 700,Rs. 674,Rs. 687,-10.00,10978.00,7553498.00,697,-1.43,"21 February, 2021"
SGI,Sanima General Insurance Limited,522,Rs. 687,Rs. 671,Rs. 671,-16.00,14886.00,10039257.00,687,-2.33,"22 February, 2021"
SGI,Sanima General Insurance Limited,523,Rs. 670,Rs. 645,Rs. 669,-2.00,13001.00,8527595.00,671,-0.30,"23 February, 2021"
SGI,Sanima General Insurance Limited,564,Rs. 691,Rs. 668,Rs. 669,-11.00,11575.00,7821630.00,680,-1.62,"25 February, 2021"
SGI,Sanima General Insurance Limited,521,Rs. 638,Rs. 621,Rs. 638,19.00,11011.00,6941180.00,619,3.07,"04 March, 2021"
SGI,Sanima General Insurance Limited,400,Rs. 663,Rs. 623,Rs. 631,-7.00,7685.00,4860432.00,638,-1.10,"07 March, 2021"
SGI,Sanima General Insurance Limited,419,Rs. 652,Rs. 620,Rs. 621,-10.00,8030.00,5020972.00,631,-1.58,"09 March, 2021"
SGI,Sanima General Insurance Limited,398,Rs. 625,Rs. 613,Rs. 619,-2.00,6200.00,3837190.00,621,-0.32,"10 March, 2021"
SGI,Sanima General Insurance Limited,458,Rs. 620,Rs. 604,Rs. 607,-12.00,7670.00,4665040.00,619,-1.94,"14 March, 2021"
SGI,Sanima General Insurance Limited,384,Rs. 637,Rs. 590,Rs. 596,-11.00,8129.00,4874056.00,607,-1.81,"15 March, 2021"
SGI,Sanima General Insurance Limited,1439,Rs. 776,Rs. 694,Rs. 776,70.00,87231.00,65967595.00,706,9.92,"31 March, 2021"
SGI,Sanima General Insurance Limited,1152,Rs. 819,Rs. 745,Rs. 819,74.00,81902.00,66388742.00,745,9.93,"04 April, 2021"
SGI,Sanima General Insurance Limited,1625,Rs. 900,Rs. 799,Rs. 900,81.00,89444.00,76111889.00,819,9.89,"05 April, 2021"
SGI,Sanima General Insurance Limited,1442,Rs. 900,Rs. 810,Rs. 821,-79.00,82887.00,68760428.00,900,-8.78,"06 April, 2021"
SGI,Sanima General Insurance Limited,752,Rs. 821,Rs. 765,Rs. 778,-43.00,37013.00,28928956.00,821,-5.24,"07 April, 2021"
SGI,Sanima General Insurance Limited,612,Rs. 811,Rs. 747,Rs. 790,12.00,25225.00,19897945.00,778,1.54,"08 April, 2021"
SGI,Sanima General Insurance Limited,771,Rs. 847,Rs. 776,Rs. 815,25.00,34551.00,27614994.00,790,3.16,"12 April, 2021"
SGI,Sanima General Insurance Limited,453,Rs. 825,Rs. 795,Rs. 797,-18.00,17052.00,13646345.00,815,-2.21,"13 April, 2021"
SGI,Sanima General Insurance Limited,552,Rs. 830,Rs. 781,Rs. 787,-10.00,16774.00,13231203.00,797,-1.25,"15 April, 2021"
SGI,Sanima General Insurance Limited,389,Rs. 754,Rs. 740,Rs. 749,-3.00,11904.00,8913616.00,752,-0.40,"22 April, 2021"
SGI,Sanima General Insurance Limited,484,Rs. 715,Rs. 671,Rs. 691,-28.00,18151.00,12680644.00,719,-3.89,"26 April, 2021"
SGI,Sanima General Insurance Limited,281,Rs. 739,Rs. 715,Rs. 718,6.00,6635.00,4806755.00,712,0.84,"28 April, 2021"
SGI,Sanima General Insurance Limited,435,Rs. 750,Rs. 701,Rs. 747,29.00,14532.00,10761081.00,718,4.04,"29 April, 2021"
SGI,Sanima General Insurance Limited,1017,Rs. 815,Rs. 733,Rs. 812,65.00,52913.00,41377883.00,747,8.70,"02 May, 2021"
SGI,Sanima General Insurance Limited,791,Rs. 830,Rs. 788,Rs. 798,-14.00,43705.00,35259837.00,812,-1.72,"03 May, 2021"
SGI,Sanima General Insurance Limited,402,Rs. 795,Rs. 777,Rs. 783,-5.00,16949.00,13320867.00,788,-0.63,"05 May, 2021"
SGI,Sanima General Insurance Limited,378,Rs. 822,Rs. 780,Rs. 786,3.00,29313.00,23036542.00,783,0.38,"06 May, 2021"
SGI,Sanima General Insurance Limited,409,Rs. 825,Rs. 775,Rs. 790,4.00,31584.00,24623361.00,786,0.51,"09 May, 2021"
SGI,Sanima General Insurance Limited,351,Rs. 794,Rs. 750,Rs. 783,-6.00,14619.00,11514572.00,789,-0.76,"13 May, 2021"
SGI,Sanima General Insurance Limited,580,Rs. 809,Rs. 768,Rs. 800,17.00,25827.00,20659073.00,783,2.17,"16 May, 2021"
SGI,Sanima General Insurance Limited,383,Rs. 845,Rs. 788,Rs. 790,-15.00,15369.00,12190665.00,805,-1.86,"20 May, 2021"
SGI,Sanima General Insurance Limited,363,Rs. 800,Rs. 784,Rs. 792,-7.00,19939.00,15801219.00,799,-0.88,"27 May, 2021"
